,num,Star_name,Distance,Mass,Radius,temp_num,Temp_star_name,Temp_distance,Temp_mass,Temp_radius
103,51.0,Almaaz,653,15,140,51.0,2MASS J04285096-2253227 [de],85.0,80.0,1.09
104,,,,,,,,,,
105,52.0,Rasalgethi,360,2.8,280,52.0,2MASS J04351612-1606574,34.0,100.0,1.26
106,,,,,,,,,,
107,53.0,Tau Ceti,11.9,0.783,0.893,53.0,2MASS J04362788-4114465,142.0,39.0,1.97
108,,,,,,,,,,
109,54.0,Delta Pavonis,19.92,0.991,1.22,54.0,2MASS J04390101-2353083 [de],29.5,48.0,0.97
110,,,,,,,,,,
111,55.0,Ran,10.48,0.82,0.74,55.0,2MASS J04414489+2301513,470.0,19.0,
112,,,,,,,,,,
113,56.0,V382 Carinae,"8,900",20,485,56.0,2MASS J04433764+0002040,82.0,22.0,1.78
114,,,,,,,,,,
115,57.0,Eta Carinae,"7,500",100,60–881,57.0,2MASS J04455387-3048204 [de],42.0,64.0,1.0
116,,,,,,,,,,
117,58.0,Delta Cephei,887,4.5,44.5,58.0,2MASS J04510093-3402150 [de],69.0,1.04,72.0
118,,,,,,,,,,
119,59.0,Mu Cephei,"6,000",19.2,972,59.0,2MASS J05002100+0330501 [de],44.0,64.0,1.0
120,,,,,,,,,,
121,60.0,Titawin,44.25,1.27,1.48,60.0,2MASS J05012406-0010452 [de],64.0,21.0,1.38
122,,,,,,,,,,
123,61.0,Rho Cassiopeiae,"8,154",22,636-981,61.0,2MASS J05160945-0445499 [de],73.0,47.0,0.97
124,,,,,,,,,,
125,62.0,P Cygni,"5,545",30,76,62.0,2MASS J0523−1403,40.0,68.0,1.01
126,,,,,,,,,,
127,63.0,La Superba,"1,000",,129 - 342,63.0,2MASS 0532+8246,81.0,83.0,
128,,,,,,,,,,
129,64.0,VV Cephei,"4,900",18.2,"516 - 1,050",64.0,SDSS J053951.99-005902.0,41.62,61.0,1.01
130,,,,,,,,,,
131,65.0,61 Cygni,11.41,0.7,0.665,65.0,2MASS J05591914-1404488 [de],34.0,,
132,,,,,,,,,,
133,66.0,R Doradus,178,0.7 - 1.0,298,66.0,LSR 0602+3910 [de],34.6,28.0,1.41
134,,,,,,,,,,
135,67.0,Polaris Australis,281,1.59,3.74,67.0,2MASS J06085283-2753583,102.0,38.0,1.51
136,,,,,,,,,,
137,68.0,R Coronae Borealis,"4,566",0.85,85,68.0,WISEP J061135.13-041024.0A,69.0,65.0,
138,,,,,,,,,,
139,69.0,54 Piscium,36.1,0.76,0.94,69.0,WISEP J061135.13-041024.0B,69.0,53.0,
140,,,,,,,,,,
141,70.0,Mira,300,1.2,370,70.0,2MASS J06244595-4521548 [de],39.0,56.0,0.99
142,,,,,,,,,,
143,71.0,RW Cephei,"14,000",13.9,"1,158",71.0,2MASS J06411840-4322329 [de],65.0,67.0,1.01
144,,,,,,,,,,
145,72.0,Lacaille 8760,12.87,0.6,0.51,72.0,DENIS-P J0652197-253450 [de],51.0,75.0,1.05
146,,,,,,,,,,
147,73.0,V838 Monocerotis,"19,896",?,380 - 750,73.0,2MASS J07003664+3157266 [de],40.0,,
148,,,,,,,,,,
149,74.0,HD 140283,190,?,1.4,74.0,2MASS J07075327-4900503,60.0,72.0,1.03
150,,,,,,,,,,
151,75.0,II Pegasi,130,0.8,3.4,75.0,UGPS J072227.51-054031.2,13.4,26.0,0.98
152,,,,,,,,,,
153,76.0,VY Canis Majoris,"3,900",17,"1,420",76.0,2MASSI J0727182+171001 [de],29.6,41.0,0.94
154,,,,,,,,,,
155,77.0,Pistol Star,"25,000",100,320,77.0,2MASS J07290002-3954043 [de],25.8,37.0,0.94
156,,,,,,,,,,
157,78.0,S Doradus,"169,000",24,380,78.0,SDSS J074201.41+205520.5 [de],49.0,43.0,0.94
158,,,,,,,,,,
159,79.0,UY Scuti,"5,100",7–10,755,79.0,2MASS J0746425+200032 [fr],49.6,,
160,,,,,,,,,,
161,80.0,Barnard's Star,5.98,0.14,0.2,80.0,DENIS-P J0751164-253043 [de],55.0,71.0,1.03
162,,,,,,,,,,
163,81.0,Luhman 16,6.52,0.04,?,81.0,2MASS J07522390+1612157,60.0,2.01,68.0
164,,,,,,,,,,
165,82.0,Proxima Centauri,4.25,0.12,0.15,82.0,DENIS J081730.0-615520,16.1,44.0,0.94
166,,,,,,,,,,
167,83.0,KIC 8462852,"1,470",1.43,1.58,83.0,DENIS J082303.1−491201A,67.0,44.0,
168,,,,,,,,,,
169,84.0,R136a1,"163,000",290,32,84.0,DENIS J082303.1−491201B,67.0,28.0,
170,,,,,,,,,,
171,85.0,Melnick 42,"163,000",189,21.1,85.0,2MASS J08251968+2115521 [de],35.0,52.0,0.98
172,,,,,,,,,,
173,86.0,WR 102,"18,134",19,0.39,86.0,SDSSp J083008.12+482847.4 [de],43.0,48.0,0.99
174,,,,,,,,,,
175,87.0,VFTS 352,"164,000",57.48,14.47,87.0,LHS 2021,55.0,88.0,1.15
176,,,,,,,,,,
177,88.0,YBP 1194,"2,772",1.01,0.99,88.0,SDSS J083048.80+012831.1 [de],77.0,46.0,0.96
178,,,,,,,,,,
179,89.0,Gliese 1214,47.5,0.16,0.21,89.0,2MASSI J0835425-081923 [de],23.53,62.0,1.0
180,,,,,,,,,,
181,90.0,NML Cygni,"5,251",50,"1,640 - 2,770",90.0,2MASSI J0847287-153237 [de],43.0,64.0,1.0
182,,,,,,,,,,
183,91.0,VB 10,18.72,0.075,0.1,91.0,2MASS J08533619-0329321,27.6,77.0,1.07
184,,,,,,,,,,
185,92.0,WOH G64,"163,000",<20,"1,540 - 1,730",92.0,2MASSI J0859254-194926 [de],50.0,50.0,0.98
186,,,,,,,,,,
187,93.0,TRAPPIST-1,39.6,0.089,0.12,93.0,2MASSW J0920122+351742 [de],95.0,,
188,,,,,,,,,,
189,94.0,2MASS J0523-1403,40.3,0.07,0.086,94.0,2MASSI J0937347+293142,20.0,42.0,0.94
190,,,,,,,,,,
191,95.0,WISE 0855−0714,7.27,0.003,?,95.0,2MASS 0939−2448,17.4,32.0,0.95
192,,,,,,,,,,
193,96.0,Icarus,"14,400,000,000",33,?,96.0,2MASS J09490860-1545485 [de],59.0,49.0,0.96
